"YearMonth","Total_Crime_Count"
2001-01-01,406
2001-02-01,166
2001-03-01,195
2001-04-01,245
2001-05-01,229
2001-06-01,316
2001-07-01,286
2001-08-01,296
2001-09-01,354
2001-10-01,417
2001-11-01,467
2001-12-01,519
2002-01-01,1105
2002-02-01,869
2002-03-01,1569
2002-04-01,13615
2002-05-01,42017
2002-06-01,41852
2002-07-01,44961
2002-08-01,43260
2002-09-01,41384
2002-10-01,41789
2002-11-01,35572
2002-12-01,37033
2003-01-01,35962
2003-02-01,32420
2003-03-01,38521
2003-04-01,39666
2003-05-01,41062
2003-06-01,40009
2003-07-01,43054
2003-08-01,43580
2003-09-01,41168
2003-10-01,42828
2003-11-01,37982
2003-12-01,35698
2004-01-01,34709
2004-02-01,33910
2004-03-01,39580
2004-04-01,37951
2004-05-01,40657
2004-06-01,40971
2004-07-01,43106
2004-08-01,42917
2004-09-01,41062
2004-10-01,41393
2004-11-01,36689
2004-12-01,34148
2005-01-01,33376
2005-02-01,31702
2005-03-01,36602
2005-04-01,38559
2005-05-01,40293
2005-06-01,39816
2005-07-01,41568
2005-08-01,41261
2005-09-01,39338
2005-10-01,39637
2005-11-01,35647
2005-12-01,32037
2006-01-01,36249
2006-02-01,30888
2006-03-01,36763
2006-04-01,36369
2006-05-01,39480
2006-06-01,38635
2006-07-01,41399
2006-08-01,40316
2006-09-01,37586
2006-10-01,38483
2006-11-01,35372
2006-12-01,33920
2007-01-01,33773
2007-02-01,27063
2007-03-01,36222
2007-04-01,35538
2007-05-01,39985
2007-06-01,38893
2007-07-01,40892
2007-08-01,39749
2007-09-01,38159
2007-10-01,39491
2007-11-01,34303
2007-12-01,31438
2008-01-01,32786
2008-02-01,28242
2008-03-01,33563
2008-04-01,35027
2008-05-01,37463
2008-06-01,37155
2008-07-01,39791
2008-08-01,39849
2008-09-01,36887
2008-10-01,37265
2008-11-01,32812
2008-12-01,28776
2009-01-01,29574
2009-02-01,27735
2009-03-01,33019
2009-04-01,32082
2009-05-01,34821
2009-06-01,33846
2009-07-01,35135
2009-08-01,35158
2009-09-01,33359
2009-10-01,32330
2009-11-01,30932
2009-12-01,27742
2010-01-01,29100
2010-02-01,24917
2010-03-01,32232
2010-04-01,31634
2010-05-01,33358
2010-06-01,32668
2010-07-01,33464
2010-08-01,34106
2010-09-01,31835
2010-10-01,32348
2010-11-01,28853
2010-12-01,25204
2011-01-01,27083
2011-02-01,22175
2011-03-01,28605
2011-04-01,29035
2011-05-01,31522
2011-06-01,32222
2011-07-01,33163
2011-08-01,32506
2011-09-01,29850
2011-10-01,30192
2011-11-01,27554
2011-12-01,26956
2012-01-01,26128
2012-02-01,23799
2012-03-01,28477
2012-04-01,27132
2012-05-01,30034
2012-06-01,30992
2012-07-01,31865
2012-08-01,29925
2012-09-01,27685
2012-10-01,27888
2012-11-01,25985
2012-12-01,25171
2013-01-01,25320
2013-02-01,21360
2013-03-01,24849
2013-04-01,25465
2013-05-01,27931
2013-06-01,27292
2013-07-01,28573
2013-08-01,28577
2013-09-01,26270
2013-10-01,25402
2013-11-01,23490
2013-12-01,21791
2014-01-01,19747
2014-02-01,17940
2014-03-01,22049
2014-04-01,22784
2014-05-01,24751
2014-06-01,25252
2014-07-01,26409
2014-08-01,25729
2014-09-01,23719
2014-10-01,23832
2014-11-01,20597
2014-12-01,20802
2015-01-01,20397
2015-02-01,16120
2015-03-01,21316
2015-04-01,21259
2015-05-01,23242
2015-06-01,22681
2015-07-01,23715
2015-08-01,24259
2015-09-01,22479
2015-10-01,22396
2015-11-01,19890
2015-12-01,20011
2016-01-01,20410
2016-02-01,18553
2016-03-01,21796
2016-04-01,20919
2016-05-01,23307
2016-06-01,23761
2016-07-01,24564
2016-08-01,24628
2016-09-01,23422
2016-10-01,23474
2016-11-01,21502
2016-12-01,20113
2017-01-01,21701
2017-02-01,19088
2017-03-01,20279
2017-04-01,21426
2017-05-01,23106
2017-06-01,23517
2017-07-01,24532
2017-08-01,24371
2017-09-01,22449
2017-10-01,22415
2017-11-01,20932
2017-12-01,20315
2018-01-01,20174
2018-02-01,17140
2018-03-01,20935
2018-04-01,20880
2018-05-01,24417
2018-06-01,23863
2018-07-01,24800
2018-08-01,24892
2018-09-01,22520
2018-10-01,22253
2018-11-01,20034
2018-12-01,20972
2019-01-01,19475
2019-02-01,18204
2019-03-01,20230
2019-04-01,20821
2019-05-01,23458
2019-06-01,23379
2019-07-01,24620
2019-08-01,24181
2019-09-01,22188
2019-10-01,21455
2019-11-01,19657
2019-12-01,20482
2020-01-01,19553
2020-02-01,17956
2020-03-01,16410
2020-04-01,12621
2020-05-01,17229
2020-06-01,17297
2020-07-01,19218
2020-08-01,19504
2020-09-01,17500
2020-10-01,17910
2020-11-01,16065
2020-12-01,15646
2021-01-01,15679
2021-02-01,12703
2021-03-01,15561
2021-04-01,15152
2021-05-01,17373
2021-06-01,18375
2021-07-01,18741
2021-08-01,18051
2021-09-01,18782
2021-10-01,18797
2021-11-01,16783
2021-12-01,16013
2022-01-01,15260
2022-02-01,14882
2022-03-01,17863
2022-04-01,17702
2022-05-01,19839
2022-06-01,20402
2022-07-01,21839
2022-08-01,21841
2022-09-01,21810
2022-10-01,22631
2022-11-01,20404
2022-12-01,19755
2023-01-01,20922
2023-02-01,18266
2023-03-01,20548
2023-04-01,20562
2023-05-01,22049
2023-06-01,22555
2023-07-01,23815
2023-08-01,23975
2023-09-01,22431
2023-10-01,22878
2023-11-01,21195
2023-12-01,21055
2024-01-01,19211
2024-02-01,19580
2024-03-01,20432
2024-04-01,19759
2024-05-01,5891
